Date,Station,Daily Mean Temperature,Daily Total Rainfall
2016-04-08,Station_A,10.8,1.6
2016-04-09,Station_A,10.9,1.8
2016-04-10,Station_A,11.0,0.0
2016-04-11,Station_A,11.1,0.2
2016-04-12,Station_A,11.2,0.4
2016-04-13,Station_A,11.3,0.6
2016-04-14,Station_A,11.4,0.8
2016-04-15,Station_A,11.5,tr
2016-04-16,Station_A,11.6,1.2
2016-04-17,Station_A,11.7,1.4
2016-04-18,Station_A,11.8,1.6
2016-04-19,Station_A,11.9,1.8
2016-04-20,Station_A,12.0,0.0
2016-04-21,Station_A,12.1,0.2
2016-04-22,Station_A,12.2,0.4
2016-04-23,Station_A,12.3,0.6
2016-04-24,Station_A,12.4,0.8
2016-04-25,Station_A,12.5,1.0
2016-04-26,Station_A,12.6,1.2
2016-04-27,Station_A,12.7,1.4
2016-04-28,Station_A,12.8,1.6
2016-04-29,Station_A,12.9,1.8
2016-04-30,Station_A,10.0,tr
2016-05-01,Station_A,10.1,0.2
2016-05-02,Station_A,10.2,0.4
2016-05-03,Station_A,10.3,0.6
2016-05-04,Station_A,10.4,0.8
2016-05-05,Station_A,10.5,1.0
2016-05-06,Station_A,10.6,1.2
2016-05-07,Station_A,10.7,1.4
2016-05-08,Station_A,10.8,1.6
2016-05-09,Station_A,10.9,1.8
2016-05-10,Station_A,11.0,0.0
2016-05-11,Station_A,11.1,0.2
2016-05-12,Station_A,11.2,0.4
2016-05-13,Station_A,11.3,0.6
2016-05-14,Station_A,11.4,0.8
2016-05-15,Station_A,11.5,tr
2016-05-16,Station_A,11.6,1.2
2016-05-17,Station_A,11.7,1.4
2016-05-18,Station_A,11.8,1.6
2016-05-19,Station_A,11.9,1.8
2016-05-20,Station_A,12.0,0.0
2016-05-21,Station_A,12.1,0.2
2016-05-22,Station_A,12.2,0.4
2016-05-23,Station_A,12.3,0.6
2016-05-24,Station_A,12.4,0.8
2016-05-25,Station_A,12.5,1.0
2016-05-26,Station_A,12.6,1.2
2016-05-27,Station_A,12.7,1.4
2016-05-28,Station_A,12.8,1.6
2016-05-29,Station_A,12.9,1.8
2016-05-30,Station_A,10.0,tr
2016-05-31,Station_A,10.1,0.2
2016-06-01,Station_A,10.2,0.4
2016-06-02,Station_A,10.3,0.6
2016-06-03,Station_A,10.4,0.8
2016-06-04,Station_A,10.5,1.0
2016-06-05,Station_A,10.6,1.2
2016-06-06,Station_A,10.7,1.4
2016-06-07,Station_A,10.8,1.6
2016-06-08,Station_A,10.9,1.8
2016-06-09,Station_A,11.0,0.0
2016-06-10,Station_A,11.1,0.2
2016-06-11,Station_A,11.2,0.4
2016-06-12,Station_A,11.3,0.6
2016-06-13,Station_A,11.4,0.8
2016-06-14,Station_A,11.5,tr
2016-06-15,Station_A,11.6,1.2
2016-06-16,Station_A,11.7,1.4
2016-06-17,Station_A,11.8,1.6
2016-06-18,Station_A,11.9,1.8
2016-06-19,Station_A,12.0,0.0
2016-06-20,Station_A,12.1,0.2
2016-06-21,Station_A,12.2,0.4
2016-06-22,Station_A,12.3,0.6
2016-06-23,Station_A,12.4,0.8
2016-06-24,Station_A,12.5,1.0
2016-06-25,Station_A,12.6,1.2
2016-06-26,Station_A,12.7,1.4
2016-06-27,Station_A,12.8,1.6
2016-06-28,Station_A,12.9,1.8
2016-06-29,Station_A,10.0,tr
2016-06-30,Station_A,10.1,0.2
2016-07-01,Station_A,10.2,0.4
2016-07-02,Station_A,10.3,0.6
2016-07-03,Station_A,10.4,0.8
2016-07-04,Station_A,10.5,1.0
2016-07-05,Station_A,10.6,1.2
2016-07-06,Station_A,10.7,1.4
2016-07-07,Station_A,10.8,1.6
2016-07-08,Station_A,10.9,1.8
2016-07-09,Station_A,11.0,0.0
2016-07-10,Station_A,11.1,0.2
2016-07-11,Station_A,11.2,0.4
2016-07-12,Station_A,11.3,0.6
2016-07-13,Station_A,11.4,0.8
2016-07-14,Station_A,11.5,tr
2016-07-15,Station_A,11.6,1.2
2016-07-16,Station_A,11.7,1.4
2016-07-17,Station_A,11.8,1.6
2016-07-18,Station_A,11.9,1.8
2016-07-19,Station_A,12.0,0.0
2016-07-20,Station_A,12.1,0.2
2016-07-21,Station_A,12.2,0.4
2016-07-22,Station_A,12.3,0.6
2016-07-23,Station_A,12.4,0.8
2016-07-24,Station_A,12.5,1.0
2016-07-25,Station_A,12.6,1.2
2016-07-26,Station_A,12.7,1.4
2016-07-27,Station_A,12.8,1.6
2016-07-28,Station_A,12.9,1.8
2016-07-29,Station_A,10.0,tr
2016-07-30,Station_A,10.1,0.2
2016-07-31,Station_A,10.2,0.4
2016-08-01,Station_A,10.3,0.6
2016-08-02,Station_A,10.4,0.8
2016-08-03,Station_A,10.5,1.0
2016-08-04,Station_A,10.6,1.2
2016-08-05,Station_A,10.7,1.4
2016-08-06,Station_A,10.8,1.6
2016-08-07,Station_A,10.9,1.8
2016-08-08,Station_A,11.0,0.0
2016-08-09,Station_A,11.1,0.2
2016-08-10,Station_A,11.2,0.4
2016-08-11,Station_A,11.3,0.6
2016-08-12,Station_A,11.4,0.8
2016-08-13,Station_A,11.5,tr
2016-08-14,Station_A,11.6,1.2
2016-08-15,Station_A,11.7,1.4
2016-08-16,Station_A,11.8,1.6
2016-08-17,Station_A,11.9,1.8
2016-08-18,Station_A,12.0,0.0
2016-08-19,Station_A,12.1,0.2
2016-08-20,Station_A,12.2,0.4
2016-08-21,Station_A,12.3,0.6
2016-08-22,Station_A,12.4,0.8
2016-08-23,Station_A,12.5,1.0
2016-08-24,Station_A,12.6,1.2
2016-08-25,Station_A,12.7,1.4
2016-08-26,Station_A,12.8,1.6
2016-08-27,Station_A,12.9,1.8
2016-08-28,Station_A,10.0,tr
2016-08-29,Station_A,10.1,0.2
2016-08-30,Station_A,10.2,0.4
2016-08-31,Station_A,10.3,0.6
2016-09-01,Station_A,10.4,0.8
2016-09-02,Station_A,10.5,1.0
2016-09-03,Station_A,10.6,1.2
2016-09-04,Station_A,10.7,1.4
2016-09-05,Station_A,10.8,1.6
2016-09-06,Station_A,10.9,1.8
2016-09-07,Station_A,11.0,0.0
2016-09-08,Station_A,11.1,0.2
2016-09-09,Station_A,11.2,0.4
2016-09-10,Station_A,11.3,0.6
2016-09-11,Station_A,11.4,0.8
2016-09-12,Station_A,11.5,tr
2016-09-13,Station_A,11.6,1.2
2016-09-14,Station_A,11.7,1.4
2016-09-15,Station_A,11.8,1.6
2016-09-16,Station_A,11.9,1.8
2016-09-17,Station_A,12.0,0.0
2016-09-18,Station_A,12.1,0.2
2016-09-19,Station_A,12.2,0.4
2016-09-20,Station_A,12.3,0.6
2016-09-21,Station_A,12.4,0.8
2016-09-22,Station_A,12.5,1.0
2016-09-23,Station_A,12.6,1.2
2016-09-24,Station_A,12.7,1.4
2016-09-25,Station_A,12.8,1.6
2016-09-26,Station_A,12.9,1.8
2016-09-27,Station_A,10.0,tr
2016-09-28,Station_A,10.1,0.2
2016-09-29,Station_A,10.2,0.4
2016-09-30,Station_A,10.3,0.6
2016-10-01,Station_A,10.4,0.8
2016-10-02,Station_A,10.5,1.0
2016-10-03,Station_A,10.6,1.2
2016-10-04,Station_A,10.7,1.4
2016-10-05,Station_A,10.8,1.6
2016-10-06,Station_A,10.9,1.8
2016-10-07,Station_A,11.0,0.0
2016-10-08,Station_A,11.1,0.2
2016-10-09,Station_A,11.2,0.4
2016-10-10,Station_A,11.3,0.6
2016-10-11,Station_A,11.4,0.8
2016-10-12,Station_A,11.5,tr
2016-10-13,Station_A,11.6,1.2
2016-10-14,Station_A,11.7,1.4
2016-10-15,Station_A,11.8,1.6
2016-10-16,Station_A,11.9,1.8
2016-10-17,Station_A,12.0,0.0
2016-10-18,Station_A,12.1,0.2
2016-10-19,Station_A,12.2,0.4
2016-10-20,Station_A,12.3,0.6
2016-10-21,Station_A,12.4,0.8
2016-10-22,Station_A,12.5,1.0
2016-10-23,Station_A,12.6,1.2
2016-10-24,Station_A,12.7,1.4
2016-10-25,Station_A,12.8,1.6
2016-10-26,Station_A,12.9,1.8
2016-10-27,Station_A,10.0,tr
2016-10-28,Station_A,10.1,0.2
2016-10-29,Station_A,10.2,0.4
2016-10-30,Station_A,10.3,0.6
2016-10-31,Station_A,10.4,0.8
2016-11-01,Station_A,10.5,1.0
2016-11-02,Station_A,10.6,1.2
2016-11-03,Station_A,10.7,1.4
2016-11-04,Station_A,10.8,1.6
2016-11-05,Station_A,10.9,1.8
2016-11-06,Station_A,11.0,0.0
2016-11-07,Station_A,11.1,0.2
2016-11-08,Station_A,11.2,0.4
2016-11-09,Station_A,11.3,0.6
2016-11-10,Station_A,11.4,0.8
2016-11-11,Station_A,11.5,tr
2016-11-12,Station_A,11.6,1.2
2016-11-13,Station_A,11.7,1.4
2016-11-14,Station_A,11.8,1.6
2016-11-15,Station_A,11.9,1.8
2016-11-16,Station_A,12.0,0.0
2016-11-17,Station_A,12.1,0.2
2016-11-18,Station_A,12.2,0.4
2016-11-19,Station_A,12.3,0.6
2016-11-20,Station_A,12.4,0.8
2016-11-21,Station_A,12.5,1.0
2016-11-22,Station_A,12.6,1.2
2016-11-23,Station_A,12.7,1.4
2016-11-24,Station_A,12.8,1.6
2016-11-25,Station_A,12.9,1.8
2016-11-26,Station_A,10.0,tr
2016-11-27,Station_A,10.1,0.2
2016-11-28,Station_A,10.2,0.4
2016-11-29,Station_A,10.3,0.6
2016-11-30,Station_A,10.4,0.8
2016-12-01,Station_A,10.5,1.0
2016-12-02,Station_A,10.6,1.2
2016-12-03,Station_A,10.7,1.4
2016-12-04,Station_A,10.8,1.6
2016-12-05,Station_A,10.9,1.8
2016-12-06,Station_A,11.0,0.0
2016-12-07,Station_A,11.1,0.2
2016-12-08,Station_A,11.2,0.4
2016-12-09,Station_A,11.3,0.6
2016-12-10,Station_A,11.4,0.8
2016-12-11,Station_A,11.5,tr
2016-12-12,Station_A,11.6,1.2
2016-12-13,Station_A,11.7,1.4
2016-12-14,Station_A,11.8,1.6
2016-12-15,Station_A,11.9,1.8
2016-12-16,Station_A,12.0,0.0
2016-12-17,Station_A,12.1,0.2
2016-12-18,Station_A,12.2,0.4
2016-12-19,Station_A,12.3,0.6
2016-12-20,Station_A,12.4,0.8
2016-12-21,Station_A,12.5,1.0
2016-12-22,Station_A,12.6,1.2
2016-12-23,Station_A,12.7,1.4
2016-12-24,Station_A,12.8,1.6
2016-12-25,Station_A,12.9,1.8
2016-12-26,Station_A,10.0,tr
2016-12-27,Station_A,10.1,0.2
2016-12-28,Station_A,10.2,0.4
2016-12-29,Station_A,10.3,0.6
2016-12-30,Station_A,10.4,0.8
2016-12-31,Station_A,10.5,1.0
